index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
3,scene0707_00,Random-95%-seed41,2cd9b4f69b4faa8f,False,242,142,0.5867768595041323,0.17355371900826447,0.6363636363636364,0.6187414113662492,0.6006861603735015,0.6187414113662492,0.02500001573935151,6.507599988253787,,,,,,,,,
3,scene0707_00,Grid-RR,5660755d9a854ba3,False,242,143,0.5909090909090909,0.16115702479338842,0.6322314049586777,0.6895876578840873,0.5407681851217974,0.6895876578840873,0.1501999795436859,8.624999987659976,,,,,,,,,
3,scene0707_00,4D-ANMS,186c54740555ce87,False,242,138,0.5702479338842975,0.17355371900826447,0.628099173553719,0.7467197613907254,0.5507777059559218,0.7467197613907254,2.66840000404045,9.292900009313598,,,,,,,,,
3,scene0707_00,Unconditional Spatial,9186e46325cb58fe,False,242,145,0.5991735537190083,0.1652892561983471,0.6322314049586777,0.6708474453300222,0.5647963756366309,0.6708474453300222,0.20069998572580516,7.481200009351596,,,,,,,,,
3,scene0707_00,Single-View Conditional,f861f1dd26cc2b74,True,242,145,0.5991735537190083,0.16115702479338842,0.628099173553719,0.6749151652599377,0.5793921703028748,0.6749151652599377,0.1269000058528036,0.0,,,,,,,,,
3,scene0707_00,CSMR,9186e46325cb58fe,True,242,145,0.5991735537190083,0.1652892561983471,0.6322314049586777,0.6708474453300222,0.5647963756366309,0.6708474453300222,0.24009999469853938,0.0,0.95,242,242,0.6154217201997252,0.9375,0.5625,0.9375,0.5625,1
4,scene0707_00,All,d6ce3d74d852d842,False,309,174,0.5631067961165048,0.11326860841423948,0.4854368932038835,0.7462097228917672,1.3458635855068097,1.3458635855068097,0.0,9.32370001100935,,,,,,,,,
4,scene0707_00,Top-95%,6e415d02fc85dd01,False,294,175,0.5952380952380952,0.11564625850340136,0.4965986394557823,0.9711429714619536,0.844001752262017,0.9711429714619536,0.03060000017285347,7.8400000056717545,,,,,,,,,
4,scene0707_00,Random-95%-seed17,54d431b3be5d627c,False,294,170,0.5782312925170068,0.11564625850340136,0.48299319727891155,0.8981439849933687,0.9703446160381064,0.9703446160381064,0.09459999273531139,10.199099982855842,,,,,,,,,
4,scene0707_00,Random-95%-seed29,a2cdb736a03e8bdc,False,294,165,0.5612244897959183,0.11904761904761904,0.48639455782312924,0.806377754875668,1.1591828955968138,1.1591828955968138,0.036299985367804766,11.736299988115206,,,,,,,,,
