index,scene_id,method,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms
56,0015_0,anms_4d,651,341,0.5238095238095238,0.511520737327189,0.9109062980030722,0.3295222181485931,5.4150554774021105,5.4150554774021105,12.135999975726008,52.92829999234527
57,0015_0,grid_round_robin,663,397,0.5987933634992458,0.6168929110105581,0.975867269984917,0.3147561462845704,1.768352341071124,1.768352341071124,0.5366999539546669,26.293100032489747
57,0015_0,anms_4d,663,395,0.5957767722473605,0.6063348416289592,0.9788838612368024,0.32797187723171795,1.8477392143134737,1.8477392143134737,11.891799978911877,42.09569998783991
58,0015_0,grid_round_robin,1201,905,0.7535387177352206,0.7493755203996669,0.9750208159866778,0.8892563052049565,37.89650881007439,37.89650881007439,0.8415000047534704,64.59620001260191
58,0015_0,anms_4d,1201,886,0.7377185678601166,0.7343880099916736,0.9725228975853455,0.9398663542977368,40.078845637119024,40.078845637119024,28.401599964126945,38.14489999786019
59,0015_0,grid_round_robin,424,299,0.7051886792452831,0.6273584905660378,0.9504716981132075,0.038951430568907826,0.1350330730036514,0.1350330730036514,0.4164999700151384,18.857299990486354
59,0015_0,anms_4d,424,301,0.7099056603773585,0.6320754716981132,0.9504716981132075,0.05253044965219848,0.09311409961089645,0.09311409961089645,6.467600003816187,17.571399977896363
60,0015_0,grid_round_robin,714,451,0.6316526610644257,0.6078431372549019,0.9677871148459384,0.06686947027940816,0.9525015803388928,0.9525015803388928,0.6090999813750386,25.11190000222996
60,0015_0,anms_4d,714,449,0.6288515406162465,0.5966386554621849,0.9565826330532213,0.0883538018847032,0.0923554691837263,0.0923554691837263,13.195400009863079,30.01129999756813
61,0015_0,grid_round_robin,742,503,0.6778975741239892,0.628032345013477,0.9433962264150944,0.3632112539742375,0.800664663572873,0.800664663572873,0.5766000249423087,19.842200039420277
61,0015_0,anms_4d,742,484,0.6522911051212938,0.6159029649595688,0.9407008086253369,0.27289216331183885,0.6185839442528123,0.6185839442528123,13.804299989715219,36.133999994490296
62,0015_0,grid_round_robin,713,433,0.6072931276297335,0.5876577840112202,0.9298737727910238,0.0529323560421034,0.08780182069871216,0.08780182069871216,0.5819000070914626,37.581600015982985
62,0015_0,anms_4d,713,431,0.6044880785413744,0.5792426367461431,0.9116409537166901,0.02455503705081877,0.05182992244820864,0.05182992244820864,12.917199986986816,43.97150001022965
63,0015_0,grid_round_robin,800,483,0.60375,0.59875,0.9425,0.1669513155935315,0.974418270844964,0.974418270844964,0.6059000152163208,42.21290000714362
63,0015_0,anms_4d,800,468,0.585,0.59125,0.9375,0.07824519959952601,0.24201015942793502,0.24201015942793502,15.45180001994595,55.892800039146096
64,0015_0,grid_round_robin,763,465,0.6094364351245085,0.5674967234600262,0.9174311926605505,0.829620651104492,1.7452122944770931,1.7452122944770931,0.6905999616719782,39.969899982679635
64,0015_0,anms_4d,763,446,0.5845347313237221,0.546526867627785,0.8977719528178244,0.6425958900928932,1.334791272473609,1.334791272473609,14.405200025066733,54.880700015928596
65,0015_0,grid_round_robin,380,197,0.5184210526315789,0.48157894736842105,0.8578947368421053,0.4502343833849966,1.584838898116129,1.584838898116129,0.4776000278070569,33.16990000894293
